Order Date,Segment,Market,Sales,Quantity,Profit
31-07-2012,Consumer,US,2309.65,7,762.1845
05-02-2013,Corporate,APAC,3709.395,9,-288.765
17-10-2013,Consumer,APAC,5175.171,9,919.971
28-01-2013,Home Office,EU,2892.51,5,-96.54
05-11-2013,Consumer,Africa,2832.96,8,311.52
28-06-2013,Corporate,APAC,2862.675,5,763.275
07-11-2011,Consumer,APAC,1822.08,4,564.84
14-04-2012,Consumer,APAC,5244.84,6,996.48
14-10-2014,Corporate,US,5083.96,5,1906.485
28-01-2012,Consumer,US,4297.644,13,-1862.3124
05-04-2011,Corporate,US,4164.05,5,83.281
19-04-2012,Corporate,APAC,4626.15,5,647.55
27-12-2011,Consumer,EMEA,2616.96,4,1151.4
13-11-2012,Home Office,LATAM,2221.8,7,622.02
06-06-2013,Consumer,APAC,3701.52,12,1036.08
31-07-2014,Corporate,EU,1869.588,4,186.948
03-11-2014,Corporate,US,2249.91,9,517.4793
08-09-2014,Corporate,EU,7958.58,14,3979.08
31-01-2014,Corporate,APAC,2565.594,9,28.404
05-12-2014,Consumer,Africa,3409.74,6,818.28
08-08-2012,Corporate,EMEA,1977.72,4,276.84
29-10-2011,Consumer,US,2735.952,6,341.994
02-05-2011,Corporate,APAC,2754,6,358.02
27-02-2013,Home Office,EU,5273.7,10,1898.4
31-07-2014,Consumer,LATAM,1713.84,4,445.52
05-09-2014,Consumer,LATAM,2106.496,8,526.496
17-12-2011,Corporate,APAC,1715.16,2,720.36
14-03-2011,Consumer,EU,3069.738,6,1364.238
11-03-2013,Home Office,US,4158.912,8,363.9048
25-02-2012,Consumer,APAC,1878.72,4,582.36
28-12-2011,Corporate,LATAM,1696.64,5,-148.46
17-07-2012,Corporate,EU,2402.865,9,763.155
15-10-2012,Consumer,US,2453.43,5,-350.49
03-11-2011,Corporate,APAC,2526.93,5,561.48
12-12-2011,Consumer,US,3610.848,12,135.4068
14-09-2011,Corporate,Africa,3817.26,6,1068.66
